Date,Gas Production
3/24/2017,1141.044
3/25/2017,1100.021
3/26/2017,1101.452
3/27/2017,1088.851
3/28/2017,1091.283
3/29/2017,1121.095
3/30/2017,1168.58
3/31/2017,1170.304
4/1/2017,1161.698
4/2/2017,1128.245
4/3/2017,1090.343
4/4/2017,1059.777
4/5/2017,1071.973
4/6/2017,1127.279
4/7/2017,1111.93
4/8/2017,1111.754377
4/9/2017,1024.141
4/10/2017,1017.89
4/11/2017,1298.381
4/12/2017,1492.639
4/13/2017,1543.079
4/14/2017,1458.459
4/15/2017,1457.105
4/16/2017,1461.81
4/17/2017,1468.171
4/18/2017,1446.888
4/19/2017,1489.907
4/20/2017,1535.33
4/21/2017,1563.769
4/22/2017,1581.75
4/23/2017,1550.781
4/24/2017,1536.471
4/25/2017,1517.617
4/26/2017,1520.846
4/27/2017,1528.19
4/28/2017,1527.174
4/29/2017,1383.92
4/30/2017,1329.09
5/1/2017,1379.139
5/2/2017,1279.876
5/3/2017,1281.334
5/4/2017,1271.843
5/5/2017,1267.74
5/6/2017,1280.90042
5/7/2017,1275.300278
5/8/2017,1281.628
5/9/2017,1297.919
5/10/2017,1295.679
5/11/2017,1295.835
5/12/2017,1294.674
5/13/2017,1289.68
5/14/2017,1280.817
5/15/2017,1291
5/16/2017,1271.325
5/17/2017,1288.878
5/18/2017,924.2917
5/19/2017,698.4035
5/20/2017,823.8084
5/21/2017,1074.088
5/22/2017,1071.224
5/23/2017,1030.882
5/24/2017,1064.534
5/25/2017,1167.509
5/26/2017,1215.693
5/27/2017,1083.081
5/28/2017,1086.945
5/29/2017,1129.425
5/30/2017,1065.818
5/31/2017,776.359
6/1/2017,661.451
6/2/2017,671.922
6/3/2017,702.4829
6/4/2017,697.299
6/5/2017,689.8619
6/6/2017,701.8724
6/7/2017,737.2548
6/8/2017,749.0997
6/9/2017,754
6/10/2017,775.1313
6/11/2017,769.7454
6/12/2017,717.1076
6/13/2017,742.8763
6/14/2017,716.6958
6/15/2017,718.3237
6/16/2017,732.743
6/17/2017,695.0366
6/18/2017,690.7079
6/19/2017,695.5945
6/20/2017,718.2554
6/21/2017,708.0752
6/22/2017,695.1489
6/23/2017,700.854
6/24/2017,924.2752
6/25/2017,1054.185
6/26/2017,982.987
6/27/2017,986.554
6/28/2017,1237.395
6/29/2017,1477.692
6/30/2017,1488.976
7/1/2017,1209.5
7/2/2017,1460.43467
7/3/2017,1429.262
7/4/2017,1420.505
7/5/2017,1453.589
7/6/2017,1460.038
7/7/2017,1457.043
7/8/2017,1459.337
7/9/2017,1512.96028
7/10/2017,1537.705
7/11/2017,1558.235
7/12/2017,1514.252
7/13/2017,1520.946
7/14/2017,1593.051
