Date,Caramelo-2,Caramelo-3,Toposi-1,Toposi-2H,La Estancia-1H
10/3/2015,970.1257,,978.8113,917.3947,955
10/4/2015,982.1554,,925.161663,922.103,948
10/5/2015,977.3391,,901.5058,921.6545,957
10/6/2015,977.937,,898.9741,917.5756,951
10/7/2015,979.1443,,896.3148,917.4144,933
10/8/2015,975.6917,,876.7233,910.9051,939
10/9/2015,975.4424,,879.1348,915.6752,945
10/10/2015,974.6547,,873.7795,910.5778,957
10/11/2015,971.391,,876.8956,912.8182,944
10/12/2015,971.1342,,867.5217,903.5001,956
10/13/2015,979.1456,,877.449,913.5135,950
10/14/2015,979.9352,,880.5919,914.1983,945
10/15/2015,976.4887,,1072.285,908.1521,950
10/16/2015,978.0857,,1259.116,910.0313,937
10/17/2015,977.1611,,1255.257,909.1396,948
10/18/2015,965.9993,,1231.822,895.1118,964
10/19/2015,971.3571,,1240.66,901.8385,944
10/20/2015,968.6024,,1229.497,895.0145,939
10/21/2015,968.4613,,1228.6,900.6525,961
10/22/2015,971.3746,,1233.178,923.9402,957
10/23/2015,975.7211,,1242.029,928.5002,971
10/24/2015,978.4349,,1245.257,931.7382,970
10/25/2015,970.5208,,1228.333,921.2728,963
10/26/2015,974.2131,,1234.625,925.2339,958
10/27/2015,976.3254,,1238.533,926.6195,963
10/28/2015,974.3287,,1234.329,923.6986,972
10/29/2015,971.6687,,1227.307,919.8227,970
10/30/2015,971.915,,1229.569,920.7473,964
10/31/2015,970.13,,1225.424,920.6271,960
11/1/2015,973.89,,1225.221,921.2146,958
11/2/2015,971.8964,,1217.745,917.71,965
11/3/2015,971.611,,1217.423,916.8436,963
11/4/2015,977.9475,,1232.989,925.9813,970
11/5/2015,967.3344,,1205.332,910.4934,952
11/6/2015,978.3591,,1210.076,924.5605,954
11/7/2015,929.2766,,1150.703,883.5665,964
11/8/2015,969.0588,,1191.506,918.2663,966
11/9/2015,968.5169,,1191.102,919.7654,962
11/10/2015,967.0688,,1184.16,918.2198,960
11/11/2015,965.5209,,1160.051,903.6828,945
11/12/2015,975.3928,,1179.877,918.4299,949
11/13/2015,973.269,,1174.453,917.8069,973
11/14/2015,964.7026,,1174.465,919.6353,965
11/15/2015,956.9875,,1031.206,918.6492,984
11/16/2015,954.1239,,1233.647,917.7491,972
11/17/2015,954.5008,,1201.839,907.6758,962
11/18/2015,967.6166,,1174.048,901.6129,948
11/19/2015,969.0978,,1168.747,903.8509,942
11/20/2015,944.1108,,1123.237,871.7504,932
11/21/2015,944.6879,,1121.529,872.9858,917
11/22/2015,957.8927,,1134.279,886.9917,931
11/23/2015,955.773,,1122.765,881.9924,932
11/24/2015,955.2079,,1117.204,880.3562,941
11/25/2015,952.7086,,1103.019,1716.686,942.2104
11/26/2015,954.18288,,1103.144,932.2283,941.4132
11/27/2015,959.0377,,1102.788,936.8644,939.9268
11/28/2015,950.898,,1082.939,927.5467,932.0747
11/29/2015,946.5791,,1079.15,922.3908,930.3094
11/30/2015,935.304,,1057.168,910.3994,922.5969
12/1/2015,926.8004,,1438.9,900.2847,913.7915
12/2/2015,1139.093,,1185.535,907.0103,919.3609
12/3/2015,1338.765,,1218.581,911.5663,920.788
12/4/2015,1331.892387,,1222.727903,913.4497035,923.3441
12/5/2015,1361.698,,1263.485,941.8919,940.5536
12/6/2015,1364.007,,1266.037,945.0582,939.9222
12/7/2015,1359.36,,1261.281,1173.637,1129.872
12/8/2015,1360.265,,1263.704,1364.97,1272.398
12/9/2015,1342.589,,1241.948,1344.324,1264.584
12/10/2015,1326.567,,1223.57,1325.661,1239.309
12/11/2015,1352.758,,1257.754,1352.916,1214.885
12/12/2015,1352.7,,1258.039,1351.951,1217.878
12/13/2015,1353.311,,1260.072,1352.346,1296.728
12/14/2015,1342.099,,1245.098,1341.059,1322.499
12/15/2015,1347.577,,1253.535,1345.508,1344.642
12/16/2015,1361.146,,1277.557,1358.479,1326.885
12/17/2015,1767.107,,1341.82,1769.8,1305.38
12/18/2015,1917.12,,1275.912,1915.837,1267.829
12/19/2015,1907.718,,1273.073,1895.7036,1273.847
12/20/2015,1899.698,,1270.158,1872.624,1240.8288
12/21/2015,1891.318,,1270,1871.195,1216.849
12/22/2015,1881.512,,1269.84,1853.528,1266.278199
12/23/2015,1869.255,,1267.28,1843.298,1233.233
